user_id,age,gender,country,post_id,post_type,post_category,likes,comments,shares,watch_time_sec,impression_count,posted_at,follower_count,is_verified,device_type,sentiment,hashtags,engagement_rate,hashtag_count,engagement_score,log_likes,log_comments,log_shares,month,day_of_week,age_group
25795,43,Female,Brazil,496713,Image,Fitness,7011.0,354.0,1157.0,5726,44650,2022-12-17,81734,False,Mobile,Negative,#foodie #travel #love,0.190862262,3,8522.0,8.855378246041125,5.872117789475416,7.05444965813294,December,Saturday,36-45
10860,33,Male,Brazil,157326,Reel,Food,11750.0,2606.0,1807.0,5947,80216,2023-06-02,5963,False,Mobile,Negative,#fitness,0.201493468,1,16163.0,9.371693622333941,7.865955413933502,7.4999765409521215,June,Friday,26-35
86820,32,Female,UK,109864,Text,Food,4862.0,344.0,955.0,6946,44858,2023-05-07,501783,False,Tablet,Positive,#foodie,0.137344509,1,6161.0,8.489410810403786,5.84354441703136,6.862757913051401,May,Sunday,26-35
64886,51,Other,France,848877,Text,Fitness,5350.0,1083.0,1049.0,229,70455,2023-02-12,480212,False,Mobile,Negative,#music #foodie #fun,0.106195444,3,7482.0,8.585038738311304,6.988413181999592,6.956545443151569,February,Sunday,46-55
16265,34,Other,UK,449706,Image,Fitness,12682.0,2735.0,1300.0,4798,6019,2023-05-23,383936,False,Mobile,Negative,#travel,2.777371656,1,16717.0,9.448017793067429,7.914252278742441,7.170888478512505,May,Tuesday,26-35
92386,16,Other,Canada,174310,Video,Tech,12535.0,1790.0,99.0,1427,24893,2023-09-16,684761,False,Desktop,Positive,#fitness,0.579440003,1,14424.0,9.436359784035856,7.490529402060711,4.605170185988092,September,Saturday,Under 18
47194,25,Male,Japan,481598,Video,Travel,11703.0,2276.0,1465.0,6287,96327,2022-04-15,519759,True,Tablet,Negative,#music,0.16032888,1,15444.0,9.36768594269996,7.7306140660637395,7.290292882446597,April,Friday,18-25
97498,57,Female,Canada,343415,Image,Travel,9611.0,146.0,424.0,1699,68446,2023-12-20,698739,False,Desktop,Neutral,#travel #music #fitness,0.148744996,3,10181.0,9.17076759685636,4.990432586778736,6.052089168924417,December,Wednesday,55+
54131,54,Female,UK,907449,Image,Fashion,9457.233333333334,2379.0,1897.0,5650,36283,2023-07-06,615809,True,Desktop,Negative,#music #fun #fitness,0.533913954,3,13733.233333333334,9.154640893372479,7.77485576666552,7.5485559791698735,July,Thursday,46-55
70263,62,Female,Australia,495037,Video,Lifestyle,14106.0,2480.0,1053.0,3969,87972,2022-11-16,452146,False,Tablet,Neutral,#lifestyle #love,0.200506979,2,17639.0,9.554426407074502,7.816416983691801,6.960347729101308,November,Wednesday,55+
26023,61,Male,France,674625,Image,Education,355.0,398.0,1668.0,6211,54685,2022-02-15,557276,False,Tablet,Negative,#tech,0.044271738,1,2421.0,5.87493073085203,5.988961416889864,7.419979923661835,February,Tuesday,55+
51090,32,Male,Australia,538701,Image,Travel,19856.0,1723.0,905.0,3065,1816,2022-08-29,365517,False,Desktop,Positive,#fun #fashion #love,12.38105727,3,22484.0,9.896311868787032,7.452402451223638,6.80903930604298,August,Monday,26-35
77221,64,Male,Canada,183557,Text,Music,8432.0,2883.0,495.0,2145,89917,2022-09-27,413874,False,Desktop,Positive,#fitness,0.13134335,1,11810.0,9.039907859574642,7.96693349840484,6.206575926724928,September,Tuesday,55+
74820,25,Male,Brazil,287460,Text,Fashion,15700.0,1434.0,1886.0,6,389,2023-10-29,51929,False,Desktop,Positive,#foodie #lifestyle,48.89460154,2,19020.0,9.661479683575521,7.268920128193722,7.54274354536855,October,Sunday,18-25
10769,29,Other,Canada,110372,Image,Fashion,13850.0,586.0,650.0,6958,4797,2023-09-20,374227,False,Tablet,Positive,#foodie #fashion,3.144882218,2,15086.0,9.536112711175099,6.375024819828097,6.478509642208569,September,Wednesday,26-35
69735,48,Male,India,599900,Image,Food,17238.0,2646.0,997.0,4272,48199,2022-02-06,455102,False,Desktop,Positive,#lifestyle #love,0.433224756,2,20881.0,9.754929537894979,7.881182202227102,6.905753276311464,February,Sunday,46-55
72955,45,Male,UAE,200050,Reel,Food,11935.0,1294.0,1214.0,1229,92955,2022-07-24,67694,False,Desktop,Positive,#reels,0.155376257,1,14443.0,9.387314322443542,7.166265974133638,7.102499355774649,July,Sunday,36-45
74925,13,Male,Germany,980370,Text,Lifestyle,6704.0,2804.0,1072.7142857142858,4394,63141,2023-05-01,212134,False,Mobile,Positive,#foodie #fun #lifestyle,0.181086774,3,10580.714285714286,8.81060879571578,7.9391588179567965,6.978879211478043,May,Monday,Under 18
77969,27,Female,India,433477,Image,Tech,15379.0,2393.0,1210.0,1823,66245,2022-04-20,63347,False,Mobile,Positive,#love #fashion #fitness,0.286542381,3,18982.0,9.640823243059636,7.780720886117918,7.099201743553092,April,Wednesday,26-35
15311,25,Female,UK,378427,Reel,Music,9252.0,1542.0,139.0,3984,2453,2023-05-01,337580,False,Mobile,Negative,#foodie #travel #fitness,4.456991439,3,10933.0,9.13270310224903,7.341483852363161,4.941642422609304,May,Monday,18-25
93104,29,Female,USA,140857,Reel,Fitness,8573.0,1804.0,319.0,2276,17019,2022-11-14,665397,False,Mobile,Positive,#foodie #fitness,0.628474058,2,10696.0,9.056489647157923,7.498315870766981,5.768320995793772,November,Monday,26-35
63707,36,Other,Australia,938204,Reel,Fitness,1132.0,2035.0,1914.0,2943,85311,2023-08-15,694794,False,Mobile,Positive,#fun,0.059558556,1,5081.0,7.0326242610280065,7.618742377670413,7.557472901614746,August,Tuesday,36-45
95305,20,Other,Japan,815030,Reel,Lifestyle,18860.0,1427.0,1772.0,630,20241,2022-03-17,754110,False,Desktop,Positive,#reels #fashion,1.089817697,2,22059.0,9.844851577051172,7.2640301428995295,7.480428306074208,March,Thursday,18-25
38693,62,Male,India,828493,Text,Fashion,19519.0,737.0,368.0,269,74584,2023-09-02,353109,False,Desktop,Neutral,#fashion,0.276520433,1,20624.0,9.879194859967084,6.6039438246004725,5.910796644040527,September,Saturday,55+
81932,39,Female,France,195856,Reel,Lifestyle,15534.0,1777.0,296.0,4176,72793,2023-05-13,499601,False,Tablet,Negative,#fitness #love,0.241877653,2,17607.0,9.650850821827147,7.48324441607385,5.6937321388027,May,Saturday,36-45
35658,57,Other,Australia,524477,Text,Fitness,11030.0,379.0,1979.0,5791,3949,2023-04-24,281582,False,Tablet,Neutral,#foodie #tech #fitness,3.390225374,3,13388.0,9.308464769969381,5.940171252720432,7.590852123688581,April,Monday,55+
94478,35,Female,India,812514,Reel,Fashion,2079.0,2468.0,1223.0,7355,40937,2023-01-24,143083,False,Tablet,Positive,#reels,0.140948286,1,5770.0,7.640123172695364,7.81156848934518,7.1098794630722715,January,Tuesday,26-35
28431,58,Other,Brazil,892539,Reel,Fitness,944.0,1203.0,795.0,3771,86850,2023-08-11,519435,True,Desktop,Positive,#love #music,0.033874496,2,2942.0,6.851184927493743,7.093404625868766,6.679599185844383,August,Friday,55+
12747,20,Other,Germany,322368,Video,Tech,5840.0,1661.0,1402.0,4915,44951,2023-08-16,728590,False,Mobile,Neutral,#fashion,0.19806011,1,8903.0,8.67265729404031,7.415776975415394,7.246368080102461,August,Wednesday,18-25
69150,20,Male,Canada,921993,Text,Food,6674.0,1306.0,1103.0,500,37198,2022-12-30,195211,False,Desktop,Neutral,#fitness,0.244179795,1,9083.0,8.80612448326845,7.175489713624222,7.00669522683704,December,Friday,18-25
75725,38,Male,Canada,307746,Video,Food,10721.0,2465.0,1470.0,6849,31133,2022-11-05,305030,False,Desktop,Negative,#fashion,0.470754505,1,14656.0,9.280052984387483,7.81035268372429,7.293697720601438,November,Saturday,36-45
94654,59,Other,India,790628,Video,Fashion,12493.0,355.0,500.0,5606,35863,2022-03-04,637053,False,Tablet,Positive,#love #foodie,0.372194183,2,13348.0,9.433003808053515,5.87493073085203,6.2166061010848646,March,Friday,55+
45773,25,Male,UK,524824,Reel,Lifestyle,11510.0,15.0,258.0,7939,78960,2022-09-24,263286,False,Tablet,Positive,#lifestyle,0.149227457,1,11783.0,9.351058378915063,2.772588722239781,5.556828061699537,September,Saturday,18-25
77435,51,Other,France,637426,Text,Fitness,834.0,314.0,1636.0,5607,12000,2022-02-02,304622,False,Tablet,Positive,#fashion #fitness #reels,0.232,3,2784.0,6.727431724850855,5.752572638825633,7.400620577371135,February,Wednesday,46-55
66886,49,Other,UK,530909,Image,Travel,4184.0,2580.0,1567.0,5085,23454,2022-02-09,378379,False,Tablet,Negative,#reels #tech,0.355205935,2,8331.0,8.339261982923576,7.855932199718614,7.357556200910353,February,Wednesday,46-55
76803,61,Female,Australia,880985,Reel,Tech,7178.0,1039.0,1812.0,5597,2314,2023-11-17,171217,False,Desktop,Neutral,#tech #fitness,4.334053587,2,10029.0,8.878915376576483,6.946975992135418,7.502738210754851,November,Friday,55+
41551,38,Male,UAE,838360,Text,Fitness,5168.0,1486.0,1144.0,2750,12440,2022-09-17,562099,False,Tablet,Neutral,#music #lifestyle #love,0.626848875,3,7798.0,8.550434525196039,7.304515946460155,7.0431599159883405,September,Saturday,36-45
21394,37,Male,Germany,748431,Video,Education,4991.0,2592.0,1078.0,1312,91421,2022-09-24,396345,False,Mobile,Neutral,#lifestyle #fun #music,0.094737533,3,8661.0,8.515591910049263,7.860570785538664,6.983789965258135,September,Saturday,36-45
79092,28,Male,Germany,776608,Text,Travel,8146.0,693.0,1516.0,2153,16759,2023-10-29,780044,True,Desktop,Negative,#fitness #tech,0.617876962,2,10355.0,9.005405040310642,6.542471960506805,7.324489979348532,October,Sunday,26-35
13890,14,Female,Canada,333829,Reel,Tech,13884.0,68.0,17.0,4736,14787,2023-10-23,42518,False,Mobile,Positive,#reels #foodie #travel,0.944681139,3,13969.0,9.538564399740899,4.23410650459726,2.8903717578961645,October,Monday,Under 18
51606,30,Female,Germany,905064,Text,Tech,5290.0,410.0,1332.0,608,6653,2022-08-13,274361,False,Desktop,Positive,#tech,1.056966782,1,7032.0,8.57376254290413,6.018593214496234,7.195187320178709,August,Saturday,26-35
90038,29,Male,UK,147547,Video,Food,19918.0,2859.0,1903.0,3043,73974,2023-01-18,133257,False,Desktop,Negative,#tech #fun #foodie,0.333630735,3,24680.0,9.899429329075273,7.958576903813898,7.55171221535131,January,Wednesday,26-35
97313,42,Male,France,374244,Text,Fashion,14844.0,918.0,1656.0,5104,17335,2023-05-13,771262,False,Tablet,Negative,#fun #reels,1.004788001,2,17418.0,9.60541838719786,6.823286122355687,7.4127640174265625,May,Saturday,36-45
20627,51,Male,France,410074,Text,Fitness,18436.0,2894.0,109.0,5695,86543,2023-10-01,620110,False,Mobile,Negative,#love #music #travel,0.247726564,3,21439.0,9.82211479407039,7.970740390007095,4.700480365792417,October,Sunday,46-55
18792,25,Male,Canada,307977,Video,Tech,8151.0,739.0,330.0,1663,74315,2022-01-05,117310,False,Desktop,Positive,#foodie #music #love,0.124066474,3,9220.0,9.00601857490256,6.606650186198215,5.802118375377063,January,Wednesday,18-25
83969,44,Female,India,939457,Reel,Fitness,28.0,1490.0,1596.0,3294,95708,2023-03-22,545643,False,Mobile,Neutral,#fashion #foodie #love,0.032536465,3,3114.0,3.367295829986474,7.307202314764738,7.3758821482150125,March,Wednesday,36-45
53001,62,Female,France,569092,Image,Tech,18244.0,2486.0,945.0,5924,44243,2022-10-15,512624,False,Desktop,Neutral,#tech #reels,0.489908008,2,21675.0,9.811646348870548,7.818832443803404,6.852242569051878,October,Saturday,55+
86552,41,Other,UK,178944,Video,Lifestyle,7934.0,2577.0,1287.0,1997,74411,2022-02-27,570760,False,Desktop,Neutral,#love,0.158551827,1,11798.0,8.97903863296051,7.8547691834991324,7.160845906664299,February,Sunday,36-45
33897,38,Female,USA,544056,Video,Music,2572.0,2777.0,267.0,2429,88819,2022-03-13,721632,False,Desktop,Neutral,#tech #music #foodie,0.063229714,3,5616.0,7.8528278122817445,7.929486523314289,5.5909869805108565,March,Sunday,36-45
78148,42,Other,India,715929,Reel,Food,15281.0,272.0,434.0,6981,29387,2023-10-29,650505,False,Mobile,Neutral,#love #music #fitness,0.544016062,3,15987.0,9.634430944207512,5.60947179518496,6.075346031088684,October,Sunday,36-45
